cohort	model	param	value
HNSC_PFI_df017	MVL	weight_Boruta	0.06156
HNSC_PFI_df017	MVL	weight_MTLR	0.021582
KIRC_DFI_df161	XGBoost	objective	survival:cox
KIRC_DFI_df161	XGBoost	eval_metric	cox-nloglik
KIRC_DFI_df161	XGBoost	eta	0.05
KIRC_DFI_df161	XGBoost	max_depth	4
KIRC_DFI_df161	XGBoost	min_child_weight	3
KIRC_DFI_df161	XGBoost	subsample	0.8
KIRC_DFI_df161	XGBoost	nthread	1
KIRC_DFI_df161	XGBoost	validate_parameters	TRUE
KIRC_DFI_df161	XGBoost	nrounds	500
KIRC_DFI_df161	RSF	ntree	1000
KIRC_DFI_df161	RSF	mtry	35
KIRC_DFI_df161	RSF	nodesize	15
KIRC_DFI_df161	MTLR	nintervals	default
KIRC_DFI_df161	MTLR	regularization	C1=0.1
KIRC_DFI_df161	MVL	weight_RSF	0.25
KIRC_DFI_df161	MVL	weight_XGBoost	0.25
KIRC_DFI_df161	MVL	weight_MTLR	0.25
KIRC_DFI_df161	MVL	weight_Boruta	0.25
KIRC_DSS_df161	XGBoost	objective	survival:cox
KIRC_DSS_df161	XGBoost	eval_metric	cox-nloglik
KIRC_DSS_df161	XGBoost	eta	0.05
